"iter","env2_lion_1500-1800 - EMA/dropped_tokens","env2_lion_1500-1800 - EMA/dropped_tokens__MIN","env2_lion_1500-1800 - EMA/dropped_tokens__MAX","env2_lion_1500-1800 - _step","env2_lion_1500-1800 - _step__MIN","env2_lion_1500-1800 - _step__MAX","env2_muon_1500-1800 - EMA/dropped_tokens","env2_muon_1500-1800 - EMA/dropped_tokens__MIN","env2_muon_1500-1800 - EMA/dropped_tokens__MAX","env2_muon_1500-1800 - _step","env2_muon_1500-1800 - _step__MIN","env2_muon_1500-1800 - _step__MAX","env2_adamw_shock_1500-1800 - EMA/dropped_tokens","env2_adamw_shock_1500-1800 - EMA/dropped_tokens__MIN","env2_adamw_shock_1500-1800 - EMA/dropped_tokens__MAX","env2_adamw_shock_1500-1800 - _step","env2_adamw_shock_1500-1800 - _step__MIN","env2_adamw_shock_1500-1800 - _step__MAX"
"1915","39.282488494087524","39.282488494087524","39.282488494087524","122","122","122","44.836075953134866","44.836075953134866","44.836075953134866","122","122","122","362.2890508330735","362.2890508330735","362.2890508330735","122","122","122"
"1920","83.49591663087375","83.49591663087375","83.49591663087375","123","123","123","97.7752544895666","97.7752544895666","97.7752544895666","123","123","123","444.62806162642164","444.62806162642164","444.62806162642164","123","123","123"
"1925","49.30350381136465","49.30350381136465","49.30350381136465","124","124","124","81.8353100235442","81.8353100235442","81.8353100235442","124","124","124","377.14842410978576","377.14842410978576","377.14842410978576","124","124","124"
"1930","114.71322596557272","114.71322596557272","114.71322596557272","125","125","125","191.8229322158026","191.8229322158026","191.8229322158026","125","125","125","371.70237295258744","371.70237295258744","371.70237295258744","125","125","125"
"1935","89.93701280041104","89.93701280041104","89.93701280041104","126","126","126","126.26952324410928","126.26952324410928","126.26952324410928","126","126","126","356.3865342047734","356.3865342047734","356.3865342047734","126","126","126"
"1940","105.00690668851472","105.00690668851472","105.00690668851472","127","127","127","119.0608907804141","119.0608907804141","119.0608907804141","127","127","127","448.3426845825767","448.3426845825767","448.3426845825767","127","127","127"
"1945","66.80552833050106","66.80552833050106","66.80552833050106","128","128","128","85.30426539692672","85.30426539692672","85.30426539692672","128","128","128","397.6418718191658","397.6418718191658","397.6418718191658","128","128","128"
"1950","168.24799642387757","168.24799642387757","168.24799642387757","129","129","129","218.1713156742313","218.1713156742313","218.1713156742313","129","129","129","493.90354889049934","493.90354889049934","493.90354889049934","129","129","129"
"1955","123.44875940833549","123.44875940833549","123.44875940833549","130","130","130","133.92798019247684","133.92798019247684","133.92798019247684","130","130","130","396.64510658435097","396.64510658435097","396.64510658435097","130","130","130"
"1960","155.79525794302805","155.79525794302805","155.79525794302805","131","131","131","90.38313302385565","90.38313302385565","90.38313302385565","131","131","131","350.5149689869935","350.5149689869935","350.5149689869935","131","131","131"
"1965","99.19554186277864","99.19554186277864","99.19554186277864","132","132","132","53.37033621925654","53.37033621925654","53.37033621925654","132","132","132","340.2755840371299","340.2755840371299","340.2755840371299","132","132","132"
"1970","60.57397551455216","60.57397551455216","60.57397551455216","133","133","133","43.514649834108795","43.514649834108795","43.514649834108795","133","133","133","273.12932961808485","273.12932961808485","273.12932961808485","133","133","133"
"1975","42.0683268015879","42.0683268015879","42.0683268015879","134","134","134","42.49496558054291","42.49496558054291","42.49496558054291","134","134","134","305.080137846183","305.080137846183","305.080137846183","134","134","134"
"1980","29.34092629306964","29.34092629306964","29.34092629306964","135","135","135","63.49285222565479","63.49285222565479","63.49285222565479","135","135","135","305.9467705967926","305.9467705967926","305.9467705967926","135","135","135"
"1985","17.325523566794693","17.325523566794693","17.325523566794693","136","136","136","37.49189431072689","37.49189431072689","37.49189431072689","136","136","136","272.75850856970004","272.75850856970004","272.75850856970004","136","136","136"
"1990","10.230548410956601","10.230548410956601","10.230548410956601","137","137","137","25.038588671541127","25.038588671541127","25.038588671541127","137","137","137","269.4611717253222","269.4611717253222","269.4611717253222","137","137","137"
"1995","21.141036531185765","21.141036531185765","21.141036531185765","138","138","138","58.48503622465832","58.48503622465832","58.48503622465832","138","138","138","255.9141272920855","255.9141272920855","255.9141272920855","138","138","138"
"2000","53.883570661299885","53.883570661299885","53.883570661299885","139","139","139","75.2348290402985","75.2348290402985","75.2348290402985","139","139","139","303.1147330247036","303.1147330247036","303.1147330247036","139","139","139"
"2050","0.277703810556089","0.277703810556089","0.277703810556089","140","140","140","7.487743396634859","7.487743396634859","7.487743396634859","140","140","140","103.26218519603617","103.26218519603617","103.26218519603617","140","140","140"
"2100","65.30143122301382","65.30143122301382","65.30143122301382","141","141","141","38.438590146276354","38.438590146276354","38.438590146276354","141","141","141","75.73219008991703","75.73219008991703","75.73219008991703","141","141","141"
"2150","7.636548897239689","7.636548897239689","7.636548897239689","142","142","142","0.1981038529002186","0.1981038529002186","0.1981038529002186","142","142","142","88.19030668368148","88.19030668368148","88.19030668368148","142","142","142"
"2200","14.939357056376082","14.939357056376082","14.939357056376082","143","143","143","18.401020982725555","18.401020982725555","18.401020982725555","143","143","143","131.35451301611232","131.35451301611232","131.35451301611232","143","143","143"
"2250","0.07699408801045393","0.07699408801045393","0.07699408801045393","144","144","144","6.494834725730149","6.494834725730149","6.494834725730149","144","144","144","167.47697163255205","167.47697163255205","167.47697163255205","144","144","144"
"2300","7.8003968102218995","7.8003968102218995","7.8003968102218995","145","145","145","33.13347291818511","33.13347291818511","33.13347291818511","145","145","145","102.0631386641969","102.0631386641969","102.0631386641969","145","145","145"
"2350","0.04020149168778059","0.04020149168778059","0.04020149168778059","146","146","146","23.870762471258157","23.870762471258157","23.870762471258157","146","146","146","102.92601047362882","102.92601047362882","102.92601047362882","146","146","146"
"2400","0.00020718945115776947","0.00020718945115776947","0.00020718945115776947","147","147","147","11.123024543804197","11.123024543804197","11.123024543804197","147","147","147","101.03045752096736","101.03045752096736","101.03045752096736","147","147","147"
"2450","3.700001067807857","3.700001067807857","3.700001067807857","148","148","148","36.75732556812427","36.75732556812427","36.75732556812427","148","148","148","212.2206882671558","212.2206882671558","212.2206882671558","148","148","148"
"2500","5.619068973770327","5.619068973770327","5.619068973770327","149","149","149","2.189438993200393","2.189438993200393","2.189438993200393","149","149","149","113.39373772167168","113.39373772167168","113.39373772167168","149","149","149"
"2550","13.92895941836524","13.92895941836524","13.92895941836524","150","150","150","0.01128387640109611","0.01128387640109611","0.01128387640109611","150","150","150","129.88440583413532","129.88440583413532","129.88440583413532","150","150","150"
"2600","63.371786725714145","63.371786725714145","63.371786725714145","151","151","151","87.70005815456244","87.70005815456244","87.70005815456244","151","151","151","148.46939503060548","148.46939503060548","148.46939503060548","151","151","151"
"2650","0.32660394327056375","0.32660394327056375","0.32660394327056375","152","152","152","0.4519863853975165","0.4519863853975165","0.4519863853975165","152","152","152","106.96517788715455","106.96517788715455","106.96517788715455","152","152","152"
"2700","30.901683243305442","30.901683243305442","30.901683243305442","153","153","153","32.60232943622711","32.60232943622711","32.60232943622711","153","153","153","139.85127448184141","139.85127448184141","139.85127448184141","153","153","153"
"2750","0.15926032896380712","0.15926032896380712","0.15926032896380712","154","154","154","0.16802507714931023","0.16802507714931023","0.16802507714931023","154","154","154","108.62076203113664","108.62076203113664","108.62076203113664","154","154","154"
"2800","22.100820791934925","22.100820791934925","22.100820791934925","155","155","155","14.80086596347682","14.80086596347682","14.80086596347682","155","155","155","97.7598069903563","97.7598069903563","97.7598069903563","155","155","155"
"2850","0.11390266225889921","0.11390266225889921","0.11390266225889921","156","156","156","1.6762803360494352","1.6762803360494352","1.6762803360494352","156","156","156","61.5038320695393","61.5038320695393","61.5038320695393","156","156","156"
"2900","5.300587028716798","5.300587028716798","5.300587028716798","157","157","157","29.208639172036452","29.208639172036452","29.208639172036452","157","157","157","158.1169769248752","158.1169769248752","158.1169769248752","157","157","157"
"2950","0.027318034012843242","0.027318034012843242","0.027318034012843242","158","158","158","28.050534760404403","28.050534760404403","28.050534760404403","158","158","158","140.51489935553184","140.51489935553184","140.51489935553184","158","158","158"
"3000","0.00014079100640811923","0.00014079100640811923","0.00014079100640811923","159","159","159","2.2445661506002437","2.2445661506002437","2.2445661506002437","159","159","159","110.42418220455762","110.42418220455762","110.42418220455762","159","159","159"
